Abramów	608022	3061108022	22.6709	%	2004			:
Adamów	620012	3061020012	14.0364	%	2004			-14.0364
Adamów	611032	3061211032	18.1485	%	2004			-18.1485
Adamówka	1814022	3183414022	18.202	%	2004			-18.202
Aleksandrów	602022	3061002022	18.0356	%	2004			-18.0356
Aleksandrów	1010012	1101710012	18.2604	%	2004			-18.2604
Aleksandrów Kujawski-miasto	401011	6040801011	16.6435	%	2004			-16.6435
Aleksandrów Kujawski-wieś	401042	6040801042	11.6223	%	2004			-11.6223
Aleksandrów Łódzki	1020043	1101520043	16.3497	%	2004			-16.3497
Alwernia	1203013	2122303013	15.002	%	2004			-15.002
Andrespol	1006022	1101506022	20.9453	%	2004			-20.9453
Andrychów	1218013	2122318013	23.4671	%	2004			-23.4671
Andrzejewo	1416022	1142616022	34.3942	%	2004			-34.3942
Annopol	607023	3061207023	19.737	%	2004			-19.737
Augustów-miasto	2001011	3203901011	18.8248	%	2004			-18.8248
Augustów-wieś	2001022	3203901022	12.2429	%	2004			-12.2429
Babiak	3009022	4305809022	22.1767	%	2004			-22.1767
Babice	1203022	2122303022	18.2275	%	2004			-18.2275
Babimost	809013	4081409013	15.7268	%	2004			-15.7268
Baborów	1602013	5163202013	11.0725	%	2004			-11.0725
Baboszewo	1420032	1142520032	12.9263	%	2004			-12.9263
Baćkowice	2606012	3265306012	15.9228	%	2004			-15.9228
Bakałarzewo	2012012	3203912012	12.9771	%	2004			-12.9771
Baligród	1821012	3183321012	16.0962	%	2004			-16.0962
Bałtów	2607022	3265207022	10.5901	%	2004			-10.5901
Banie	3206012	4326606012	11.5316	%	2004			-11.5316
Banie Mazurskie	2818012	6285518012	10.5644	%	2004			-10.5644
Baranowo	1415012	1142615012	17.2952	%	2004			-17.2952
Baranów	3008012	4305708012	17.7238	%	2004			-17.7238
Baranów	1405032	1143005032	14.4869	%	2004			-14.4869
Baranów	614022	3061214022	16.225	%	2004			-16.225
Baranów Sandomierski	1820013	3183620013	20.5103	%	2004			-20.5103
Barciany	2808022	6285608022	9.2227	%	2004			-9.2227
Barcin	419013	6040819013	14.2026	%	2004			-14.2026
Barczewo	2814013	6285614013	15.2768	%	2004			-15.2768
Bardo	224013	5020324013	20	%	2004			-20
Bargłów Kościelny	2001032	3203901032	10.9592	%	2004			-10.9592
Barlinek	3210013	4326410013	15.5381	%	2004			-15.5381
Bartniczka	402062	6040702062	17.5555	%	2004			-17.5555
Bartoszyce-miasto	2801011	6285601011	17.8008	%	2004			-17.8008
Bartoszyce-wieś	2801032	6285601032	13.5011	%	2004			-13.5011
Baruchowo	418022	6040818022	11.845	%	2004			-11.845
Barwice	3215023	4326315023	13.4604	%	2004			-13.4604
Batorz	605012	3061205012	23.6184	%	2004			-23.6184
Bądkowo	401052	6040801052	15.7781	%	2004			-15.7781
Bedlno	1002022	1101902022	16.9775	%	2004			-16.9775
Bejsce	2603012	3265303012	11.4317	%	2004			-11.4317
Belsk Duży	1406012	1143006012	21.8476	%	2004			-21.8476
Bełchatów-miasto	1001011	1101701011	16.0182	%	2004			-16.0182
Bełchatów-wieś	1001022	1101701022	12.1328	%	2004			-12.1328
Bełżec	618022	3061018022	12.4268	%	2004			-12.4268
Bełżyce	609013	3061109013	17.6235	%	2004			-17.6235
Bemowo - dzielnica	1465028	1142865028	21.5001	%	2004			-21.5001
Besko	1817022	3183317022	16.1692	%	2004			-16.1692
